"Date","Screen","Template","Zone","Content URL","Type","Duration (s)"
"3/4/2026, 8:44:31 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/dnuhdotxoncgwru7qitz.jpg","image",11.041
"3/4/2026, 8:44:31 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/dnuhdotxoncgwru7qitz.jpg","image",11.042
"3/4/2026, 8:44:20 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/eepeb8uu9okckyxp3gsu.jpg","image",11.004
"3/4/2026, 8:44:20 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/eepeb8uu9okckyxp3gsu.jpg","image",11.003
"3/4/2026, 8:44:09 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399148/vtuphkntyfwc8wjfithg.png","image",10.987
"3/4/2026, 8:44:09 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399148/vtuphkntyfwc8wjfithg.png","image",10.986
"3/4/2026, 8:43:58 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/dnuhdotxoncgwru7qitz.jpg","image",11.006
"3/4/2026, 8:43:58 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/dnuhdotxoncgwru7qitz.jpg","image",11.007
"3/4/2026, 8:43:47 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/eepeb8uu9okckyxp3gsu.jpg","image",10.679
"3/4/2026, 8:43:47 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/eepeb8uu9okckyxp3gsu.jpg","image",10.678
"3/4/2026, 8:43:47 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399148/vtuphkntyfwc8wjfithg.png","image",0.044
"3/4/2026, 8:43:47 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399148/vtuphkntyfwc8wjfithg.png","image",0.043
"3/4/2026, 8:43:42 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399148/vtuphkntyfwc8wjfithg.png","image",5.247
"3/4/2026, 8:43:42 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399148/vtuphkntyfwc8wjfithg.png","image",5.246
"3/4/2026, 8:43:31 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/dnuhdotxoncgwru7qitz.jpg","image",10.765
"3/4/2026, 8:43:31 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/dnuhdotxoncgwru7qitz.jpg","image",10.759
"3/4/2026, 8:43:20 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/eepeb8uu9okckyxp3gsu.jpg","image",11.247
"3/4/2026, 8:43:20 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/eepeb8uu9okckyxp3gsu.jpg","image",11.245
"3/4/2026, 8:43:09 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399148/vtuphkntyfwc8wjfithg.png","image",11.016
"3/4/2026, 8:43:09 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399148/vtuphkntyfwc8wjfithg.png","image",11.015
"3/4/2026, 8:42:58 pm","ABC","Dil se Godlike (Copy)","zone-1773301729954","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/dnuhdotxoncgwru7qitz.jpg","image",10.97
"3/4/2026, 8:42:58 pm","ABC","Dil se Godlike (Copy)","zone-1773730231601","https://res.cloudinary.com/drxxhphoz/image/upload/v1773399142/dnuhdotxoncgwru7qitz.jpg","image",10.971
